TP (%),RPM,Lambda (AFR)
100,3000,13.98
100,3500,15.58
100,4000,15.67
100,4500,13.98
100,5000,11.62
100,5500,10.49
100,6000,10.47
100,6500,10.28
100,7000,10.74
100,7500,12.09
100,8000,12.3
100,8500,13.34
100,9000,13.79
100,11000,13.25
100,11500,12.66
