TP (%),RPM,Lambda (AFR)
4,5990.29,9.65
5,5760.44,9.85
6,5726.44,10.54
7,5725.47,10.98
8,5728.94,11.13
9,5734.38,11.21
10,5741.65,11.27
11,5752.09,11.34
12,5769.89,11.41
13,5806.17,11.51
6,6356.91,11.12
7,6357.58,11.11
8,6357.03,11.13
9,6356.07,11.16
10,6355.01,11.18
11,6354.17,11.21
12,6353.87,11.22
13,6354.43,11.22
14,6356.72,11.22
15,6360.85,11.23
16,6370.1,11.28
17,6390.14,11.41
18,6478.88,11.52
19,7181.4,11.81
20,7251.34,11.75
21,7301.87,11.69
22,7354.62,11.63
23,7459.82,11.53
9,7844.13,11.15
10,7845.03,11.18
11,7845.16,11.21
12,7844.95,11.26
13,7844.81,11.3
14,7844.92,11.35
15,7845.42,11.39
16,7846.82,11.44
17,7849.35,11.5
18,7853.13,11.56
19,7859.65,11.64
20,7868.53,11.72
21,7882.24,11.79
22,7904.23,11.83
23,7943.61,11.84
24,8167.52,11.78
25,8253.13,11.76
26,8316.71,11.74
27,8394.26,11.69
19,9150.06,11.65
20,9196.06,11.65
21,9218.45,11.65
22,9238.7,11.65
23,9262.26,11.64
24,9295.79,11.63
2,7327.44,12.14
3,6736.93,12.44
4,6212.74,11.52
5,6139.06,10.04
6,6095.41,10.82
7,6079.38,11.76
8,6078.84,11.74
9,6081.89,11.69
10,6087.65,11.65
11,6098.19,11.59
12,6111.89,11.55
13,6132.61,11.52
14,6164.91,11.52
15,6211.68,11.53
16,6345.44,11.52
17,6561.12,11.48
18,6639.8,11.44
19,6701.42,11.43
20,6760.97,11.46
8,7008,11.5
9,7012.92,11.49
10,7015.61,11.5
11,7018.09,11.51
12,7019.98,11.52
13,7022.71,11.53
14,7026.02,11.54
15,7031.38,11.55
16,7038.47,11.58
17,7047.61,11.62
18,7060.94,11.7
19,7079.69,11.78
20,7103.96,11.83
21,7143.89,11.85
22,7203.86,11.84
23,7320.83,11.83
24,7938.63,11.56
25,8008.96,11.54
26,8059.2,11.53
27,8105.11,11.53
28,8171.83,11.51
6,8595.33,11.19
7,8590.17,11.13
8,8582,11.02
9,8573.23,10.9
10,8600.53,10.91
2,6797.62,12.78
3,6668.17,10.93
2,5254.26,12.71
3,5188.25,12.55
4,4551.63,10.17
5,4475.24,9.69
6,4475.03,10.15
7,4490.78,10.6
8,4511.33,10.86
9,4545.88,11.07
10,4784.61,11.47
11,4878.96,11.61
6,5158.6,10.94
7,5163.36,10.9
8,5167.04,10.9
9,5171.41,10.9
10,5176.23,10.9
11,5183.78,10.9
12,5195.32,10.95
13,5214.16,11.1
14,5245.92,11.29
15,5328.42,11.43
16,5451.31,11.55
17,5732.02,11.75
18,6027.95,11.86
7,6384.48,10.86
8,6388.73,10.85
9,6391.54,10.87
10,6393.43,10.89
11,6395.58,10.92
12,6400.37,10.98
13,6407.78,11.09
14,6422.72,11.28
15,6450.84,11.5
16,6502.17,11.69
17,6564.29,11.75
18,6653.66,11.76
19,6798.87,11.75
20,6907.76,11.76
21,7062.35,11.75
8,7422.68,11.09
9,7424.01,11.12
10,7424.79,11.15
11,7426.18,11.19
12,7428.73,11.23
13,7435.72,11.33
14,7449.75,11.5
15,7480.85,11.66
16,7540.58,11.75
17,7636.71,11.75
3,7198.44,11.81
4,6939.67,9.77
5,6869.33,9.65
6,6859.26,9.87
7,6855.12,10.16
8,6854.22,10.54
9,6862.88,11.04
2,6842.5,12.64
3,6776.15,12.52
4,6396.46,10.22
5,6332.71,9.58
6,6318.76,9.81
7,6317.11,10.12
8,6322.11,10.48
9,6341.98,10.86
10,6429.49,10.99
11,6449.91,11.04
12,6466.29,11.11
13,6485.53,11.21
14,6510.88,11.35
15,6551.18,11.52
16,6614.66,11.64
17,6683.73,11.64
18,6743.33,11.66
19,6796.4,11.68
20,6853.41,11.71
21,6926.19,11.74
22,7095.27,11.71
6,7389.31,11.24
7,7388.91,11.24
8,7386.48,11.25
9,7383.24,11.28
10,7380.77,11.29
11,7378.42,11.31
12,7377.4,11.32
13,7377.87,11.34
14,7381.35,11.41
15,7392.15,11.55
16,7411.43,11.68
17,7441.58,11.74
18,7479.8,11.76
19,7532.2,11.74
20,7648.12,11.67
21,8032.14,11.68
22,8645.42,11.51
23,8677.56,11.52
24,8707.78,11.53
25,8742.58,11.52
2,7893.74,11.91
3,7804.19,11.5
2,6246.61,12.12
3,6017.12,12.56
4,5894.91,10.94
5,5808.31,9.76
6,5782.56,10.34
7,5780.32,10.97
8,5784.34,11.34
9,5795.89,11.46
10,5816.24,11.5
11,5848.85,11.57
12,5893.26,11.7
13,5974.27,11.75
14,6057.07,11.7
15,6107.92,11.66
16,6152.97,11.65
17,6197.16,11.64
18,6245.67,11.62
19,6306.42,11.55
20,6376.33,11.45
21,6460.59,11.38
22,6567.06,11.38
23,6697.07,11.46
24,6800.24,11.49
25,6887.56,11.5
26,6983.1,11.5
5,7482.18,11.5
6,7477.37,11.44
7,7470.24,11.37
8,7464.04,11.3
9,7457.66,11.2
10,7452.81,11.1
11,7450.07,11.02
12,7450.77,10.99
13,7464.01,11.06
14,7536.77,11.17
15,7676.67,11.24
16,8039.99,11.15
17,8107.6,11.24
5,8363.51,11.12
6,8357.77,11.07
7,8350.55,11.02
8,8343.32,10.95
9,8337.48,10.88
10,8333.65,10.86
11,8332.41,10.91
12,8336.39,11
13,8345.29,11.07
14,8360.39,11.15
15,8381.24,11.25
16,8409.18,11.34
17,8440.75,11.38
18,8475.62,11.39
19,8516.56,11.39
20,8560.89,11.4
21,8620.08,11.44
22,8737.14,11.5
23,8902.2,11.5
24,8963.43,11.48
25,9026.26,11.44
26,9279.34,11.39
2,8683.72,12.07
3,8244.11,12.4
4,6041,10.77
5,5968.89,9.94
6,5942.96,10.23
7,5934.62,10.71
8,5932.47,11.08
9,5933.91,11.34
10,5938.53,11.52
