TP (%),RPM,Lambda (AFR)
7.058,1410.04,12.75
7.124,1413.59,12.78
7.171,1416.4,12.8
7.217,1419.24,12.82
7.281,1422.98,12.85
7.38,1428.54,12.9
7.44,1432.52,12.93
7.491,1436.75,12.95
7.533,1439.75,12.97
7.589,1443.69,13
7.644,1447.64,13.03
7.728,1453.49,13.07
7.769,1457.69,13.1
7.863,1464.6,13.14
7.896,1468.84,13.16
7.939,1472.96,13.19
8.022,1480.03,13.23
8.051,1484.26,13.25
8.09,1488.39,13.27
8.126,1492.49,13.29
8.189,1499.65,13.33
8.211,1503.94,13.35
8.24,1508.11,13.37
8.268,1512.31,13.39
8.294,1516.56,13.41
8.317,1520.88,13.44
8.338,1525.23,13.46
8.361,1529.6,13.48
8.374,1532.91,13.5
8.394,1537.32,13.52
8.413,1541.74,13.54
8.43,1546.19,13.56
8.444,1550.63,13.59
8.457,1555.08,13.61
8.486,1563.89,13.65
8.496,1568.26,13.67
8.502,1571.5,13.69
8.511,1575.88,13.71
8.52,1580.27,13.74
8.527,1584.61,13.76
8.533,1588.91,13.78
8.538,1593.15,13.8
8.542,1597.31,13.82
8.546,1601.43,13.84
8.549,1605.49,13.86
8.552,1609.52,13.88
8.556,1614.53,13.9
8.558,1618.5,13.92
8.56,1622.46,13.94
8.561,1626.41,13.96
8.562,1630.35,13.97
8.563,1634.29,13.99
8.564,1638.23,14
8.565,1649.87,14.04
7.419,2065.63,13.24
7.195,2126.8,12.75
7.196,2129.49,12.73
7.198,2132.18,12.71
7.201,2134.86,12.69
7.205,2137.52,12.67
7.208,2140.17,12.65
7.212,2142.83,12.63
7.218,2145.49,12.61
7.225,2148.68,12.59
7.232,2151.84,12.57
7.24,2155.02,12.54
7.249,2158.19,12.52
7.258,2161.36,12.5
7.266,2163.97,12.48
7.276,2166.57,12.47
7.286,2169.15,12.45
7.296,2171.74,12.44
7.306,2174.32,12.42
7.317,2176.9,12.41
7.329,2179.99,12.39
7.342,2183.06,12.37
7.356,2186.1,12.36
7.369,2189.11,12.34
7.383,2192.08,12.33
7.396,2194.55,12.32
7.408,2197.01,12.3
7.42,2199.45,12.29
7.434,2201.88,12.28
7.449,2204.78,12.27
7.465,2207.65,12.26
7.481,2210.5,12.25
7.498,2213.34,12.23
7.515,2216.17,12.22
7.529,2218.51,12.22
7.543,2220.88,12.21
7.558,2223.24,12.2
7.573,2225.62,12.19
7.59,2228.49,12.18
7.608,2231.38,12.17
7.626,2234.26,12.16
7.643,2237.14,12.16
7.661,2240.04,12.15
7.675,2242.46,12.14
7.69,2244.88,12.14
7.704,2247.3,12.13
7.721,2250.23,12.12
7.738,2253.16,12.11
7.754,2256.05,12.11
7.77,2258.95,12.1
7.786,2261.84,12.09
7.799,2264.2,12.09
7.81,2266.54,12.08
7.825,2269.34,12.07
7.839,2272.12,12.06
7.852,2274.88,12.06
7.865,2277.66,12.05
7.878,2280.41,12.04
7.887,2282.7,12.03
7.896,2284.97,12.03
7.907,2287.68,12.02
7.917,2290.38,12.01
7.927,2293.09,12
7.936,2295.8,11.99
7.945,2298.56,11.98
7.951,2300.88,11.98
7.959,2303.67,11.97
7.967,2306.47,11.96
7.974,2309.28,11.95
7.98,2312.07,11.94
7.986,2314.89,11.93
7.991,2317.26,11.92
7.994,2319.67,11.91
8,2322.55,11.9
8.004,2325.42,11.89
8.009,2328.29,11.88
8.012,2331.15,11.87
8.016,2334.02,11.86
8.02,2336.85,11.85
8.023,2339.71,11.84
8.026,2342.6,11.83
8.028,2345.5,11.81
8.031,2348.37,11.8
8.033,2350.79,11.79
8.035,2353.7,11.78
8.037,2356.59,11.77
8.038,2359.49,11.76
