TP (%),RPM,Lambda (AFR)
16.869,4619.73,11.42
16.947,4623.38,11.42
17.013,4626.78,11.42
17.08,4630.52,11.42
17.147,4634.31,11.42
17.202,4637.83,11.42
17.26,4641.66,11.42
17.314,4645.52,11.42
17.358,4649.08,11.41
17.404,4652.97,11.41
17.446,4656.91,11.41
17.481,4660.53,11.4
17.517,4664.5,11.4
17.551,4668.48,11.39
17.577,4672.13,11.39
17.604,4676.11,11.38
17.628,4680.1,11.37
17.647,4683.77,11.37
17.666,4687.78,11.36
17.683,4691.79,11.35
17.698,4695.79,11.35
17.712,4699.81,11.34
17.725,4703.83,11.33
17.736,4707.88,11.32
17.747,4711.96,11.31
17.756,4715.7,11.31
17.765,4719.81,11.3
17.774,4723.92,11.29
17.782,4727.68,11.28
17.79,4731.8,11.28
17.798,4735.92,11.27
17.806,4740,11.26
17.813,4744.1,11.25
17.821,4748.18,11.25
17.828,4752.26,11.24
17.836,4756.33,11.23
17.843,4760.44,11.22
17.851,4764.55,11.22
17.859,4768.67,11.21
17.866,4772.8,11.2
17.874,4776.92,11.2
17.882,4781.04,11.19
17.89,4785.15,11.19
17.898,4789.25,11.18
17.906,4793.34,11.18
17.915,4797.42,11.17
17.923,4801.49,11.17
17.932,4805.55,11.16
17.942,4809.97,11.16
17.951,4814.06,11.15
17.961,4818.15,11.15
17.97,4822.23,11.14
17.98,4826.32,11.14
17.99,4830.39,11.14
18.001,4834.47,11.13
18.012,4838.87,11.13
18.023,4842.92,11.13
18.034,4846.98,11.12
18.045,4851.04,11.12
18.057,4855.09,11.12
18.068,4859.15,11.12
18.08,4863.26,11.12
18.093,4867.7,11.11
18.106,4871.8,11.11
18.119,4876.25,11.11
18.132,4880.36,11.11
18.145,4884.47,11.11
18.158,4888.57,11.11
18.172,4892.66,11.11
18.186,4896.75,11.11
18.199,4900.82,11.11
18.215,4905.23,11.11
18.229,4909.28,11.11
18.245,4913.71,11.11
18.26,4917.81,11.11
18.276,4922.26,11.11
18.292,4926.38,11.11
18.309,4930.84,11.11
18.325,4934.96,11.11
18.343,4939.44,11.11
18.36,4943.56,11.11
18.379,4947.99,11.11
18.396,4952.09,11.11
18.415,4956.51,11.11
18.434,4960.6,11.11
18.454,4965.05,11.11
18.473,4969.19,11.11
18.494,4973.69,11.11
18.514,4977.85,11.11
18.536,4982.36,11.11
18.556,4986.54,11.11
18.579,4991.06,11.11
18.601,4995.24,11.11
18.625,4999.75,11.11
18.647,5003.9,11.11
18.672,5008.37,11.11
18.695,5012.49,11.11
18.721,5016.97,11.11
18.746,5021.12,11.11
18.773,5025.62,11.11
18.799,5029.77,11.11
18.827,5034.27,11.11
18.854,5038.42,11.11
18.884,5042.92,11.11
18.912,5047.05,11.11
18.943,5051.51,11.11
18.974,5055.96,11.11
19.006,5060.39,11.11
19.039,5064.82,11.11
19.072,5069.26,11.11
19.105,5073.73,11.11
19.137,5077.85,11.11
19.172,5082.33,11.11
19.205,5086.45,11.11
19.24,5090.95,11.11
19.274,5095.09,11.11
19.31,5099.59,11.11
19.346,5104.06,11.11
19.383,5108.52,11.11
19.42,5112.98,11.11
19.457,5117.41,11.11
19.493,5121.85,11.12
19.528,5125.99,11.12
19.565,5130.47,11.12
19.602,5134.94,11.12
19.639,5139.43,11.12
19.676,5143.92,11.13
19.713,5148.4,11.13
19.75,5152.86,11.13
19.786,5157.32,11.13
19.822,5161.77,11.14
19.857,5166.2,11.14
19.892,5170.64,11.14
19.927,5175.1,11.15
19.962,5179.56,11.15
19.995,5184.02,11.15
20.028,5188.5,11.16
20.061,5192.98,11.16
20.093,5197.44,11.17
20.125,5201.93,11.17
20.155,5206.39,11.18
20.185,5210.84,11.18
20.216,5215.63,11.19
20.243,5220.08,11.19
20.27,5224.54,11.2
20.297,5229.02,11.21
20.322,5233.52,11.21
20.347,5238.03,11.22
20.371,5242.55,11.23
20.394,5247.08,11.24
20.418,5251.94,11.24
20.438,5256.47,11.25
20.458,5261.02,11.26
20.478,5265.91,11.27
20.496,5270.45,11.28
20.512,5275.03,11.29
20.528,5279.62,11.3
20.543,5284.22,11.31
20.557,5288.86,11.32
20.57,5293.5,11.33
20.582,5298.16,11.34
20.595,5303.17,11.35
20.606,5308.17,11.36
20.616,5312.82,11.37
20.626,5317.84,11.38
20.635,5322.87,11.39
20.642,5327.55,11.4
20.649,5332.26,11.41
20.656,5337.33,11.42
20.661,5342.06,11.43
20.666,5346.78,11.43
20.671,5351.87,11.44
20.674,5356.61,11.45
20.677,5361.33,11.46
20.678,5366.38,11.47
6.123,5680.66,11.46
6.143,5682.05,11.45
6.186,5683.26,11.44
6.244,5684.33,11.43
6.316,5685.29,11.41
6.395,5686.35,11.4
6.491,5687.29,11.39
6.604,5688.1,11.38
6.727,5688.7,11.37
6.862,5689.19,11.36
7.009,5689.55,11.35
7.164,5689.82,11.35
7.325,5690.07,11.34
7.505,5690.3,11.33
7.692,5690.46,11.32
7.887,5690.55,11.32
8.074,5690.56,11.31
8.263,5690.52,11.31
8.455,5690.44,11.31
8.647,5690.35,11.3
8.839,5690.25,11.3
9.048,5690.13,11.3
9.257,5689.99,11.29
9.45,5689.86,11.29
9.642,5689.73,11.28
9.832,5689.62,11.28
10.018,5689.54,11.28
10.202,5689.48,11.27
10.399,5689.42,11.27
10.578,5689.42,11.27
10.755,5689.41,11.26
10.928,5689.45,11.26
11.097,5689.52,11.25
11.26,5689.64,11.25
11.431,5689.79,11.24
11.593,5690.04,11.23
11.737,5690.39,11.23
11.876,5690.8,11.23
12.011,5691.23,11.22
12.141,5691.72,11.22
12.264,5692.28,11.22
12.391,5692.91,11.22
12.501,5693.61,11.22
12.604,5694.43,11.22
12.701,5695.32,11.22
12.793,5696.29,11.23
12.88,5697.34,11.23
12.97,5698.5,11.24
13.056,5699.74,11.25
13.138,5701.06,11.26
13.21,5702.4,11.27
13.281,5703.76,11.28
13.349,5705.19,11.29
13.414,5706.68,11.3
13.477,5708.25,11.31
13.544,5709.97,11.33
13.609,5711.81,11.34
13.667,5713.62,11.35
13.725,5715.5,11.37
13.781,5717.44,11.38
13.836,5719.44,11.39
13.89,5721.49,11.41
13.947,5723.72,11.42
14.003,5726.01,11.43
14.059,5728.34,11.44
14.113,5730.73,11.46
14.161,5733,11.47
14.207,5735.32,11.48
14.253,5737.67,11.48
14.296,5740.05,11.49
14.337,5742.44,11.5
14.38,5745.02,11.51
14.422,5747.61,11.51
14.462,5750.2,11.52
14.499,5752.78,11.53
14.532,5755.2,11.53
14.563,5757.62,11.54
14.591,5760.03,11.54
14.619,5762.44,11.55
14.645,5764.86,11.55
14.672,5767.44,11.56
14.696,5770.01,11.57
14.72,5772.58,11.57
14.739,5774.96,11.58
14.758,5777.33,11.58
14.775,5779.7,11.58
14.792,5782.07,11.59
14.806,5784.43,11.59
14.822,5786.97,11.6
14.835,5789.52,11.6
14.848,5792.08,11.6
14.86,5794.64,11.61
14.871,5797.2,11.61
14.881,5799.77,11.61
14.89,5802.31,11.62
14.898,5804.87,11.62
14.905,5807.26,11.62
14.912,5809.66,11.62
14.918,5812.06,11.62
14.924,5814.49,11.62
14.929,5816.94,11.62
14.935,5819.56,11.63
14.94,5822.2,11.63
14.944,5824.82,11.63
14.949,5827.44,11.62
14.952,5830.05,11.62
14.956,5832.65,11.62
14.959,5835.25,11.62
14.962,5837.86,11.62
14.964,5840.29,11.62
14.966,5842.72,11.62
14.968,5845.16,11.61
14.97,5847.59,11.61
14.971,5850.02,11.61
14.973,5852.62,11.61
14.974,5855.2,11.6
14.975,5857.78,11.6
14.977,5860.36,11.6
14.978,5862.94,11.6
14.979,5865.52,11.59
14.98,5868.12,11.59
14.981,5870.71,11.59
14.982,5873.3,11.59
14.983,5878.46,11.58
14.984,5881.02,11.58
14.985,5883.59,11.57
14.986,5888.71,11.57
14.987,5893.52,11.56
14.988,5900.76,11.55
14.989,5916.22,11.53
14.986,5983.81,11.44
14.987,5991.57,11.43
14.988,5994.15,11.43
14.989,5999.36,11.42
14.99,6001.96,11.42
14.991,6004.57,11.41
14.992,6007.17,11.41
14.993,6009.75,11.41
14.994,6012.33,11.4
14.996,6014.9,11.4
14.997,6017.48,11.4
14.999,6020.05,11.39
15,6022.63,11.39
15.001,6025.22,11.39
15.003,6027.8,11.39
15.004,6030.37,11.38
15.006,6032.95,11.38
15.007,6035.52,11.38
15.008,6038.08,11.37
15.01,6040.81,11.37
15.011,6043.52,11.37
15.012,6046.25,11.37
15.014,6048.97,11.36
15.015,6051.71,11.36
15.016,6054.27,11.36
15.018,6056.84,11.36
15.019,6059.39,11.36
15.02,6061.92,11.35
15.021,6064.44,11.35
15.023,6066.96,11.35
15.024,6069.47,11.35
15.025,6071.98,11.35
15.026,6074.5,11.35
15.028,6077.01,11.35
15.029,6079.52,11.35
15.03,6082.02,11.34
15.032,6084.52,11.34
15.033,6087,11.34
15.034,6089.46,11.34
15.035,6092.08,11.34
15.037,6094.69,11.34
15.038,6097.3,11.34
15.04,6099.92,11.34
15.041,6102.55,11.34
15.042,6105.02,11.34
15.044,6107.49,11.34
15.045,6109.94,11.34
15.047,6112.39,11.34
15.048,6114.83,11.34
15.05,6117.27,11.34
15.051,6119.71,11.34
15.053,6122.16,11.34
15.054,6124.61,11.34
15.056,6127.07,11.34
15.058,6129.69,11.34
15.059,6132.31,11.34
15.061,6134.9,11.34
15.063,6137.49,11.34
15.065,6140.09,11.34
15.068,6142.52,11.34
15.07,6144.94,11.34
15.073,6147.39,11.34
15.076,6149.84,11.34
15.08,6152.28,11.34
15.084,6154.73,11.34
15.089,6157.33,11.34
15.094,6159.92,11.34
15.1,6162.52,11.35
15.107,6165.12,11.35
15.114,6167.72,11.35
15.122,6170.16,11.35
15.131,6172.62,11.35
15.14,6175.07,11.35
15.15,6177.52,11.35
15.162,6179.99,11.35
15.174,6182.61,11.35
15.188,6185.22,11.35
15.202,6187.83,11.35
15.218,6190.45,11.35
15.235,6193.06,11.35
15.252,6195.51,11.36
15.27,6197.97,11.36
15.289,6200.44,11.36
15.31,6202.9,11.36
15.331,6205.53,11.36
15.355,6208.14,11.36
15.38,6210.76,11.36
15.406,6213.36,11.37
15.433,6215.97,11.37
15.46,6218.42,11.37
15.488,6220.87,11.37
15.519,6223.49,11.38
15.552,6226.11,11.38
15.585,6228.74,11.38
15.621,6231.38,11.38
15.657,6234,11.39
15.693,6236.47,11.39
15.73,6238.94,11.39
15.769,6241.41,11.39
15.811,6244.06,11.4
15.854,6246.72,11.4
15.899,6249.39,11.4
15.945,6252.07,11.4
15.993,6254.76,11.41
16.04,6257.28,11.41
16.088,6259.8,11.41
16.139,6262.49,11.42
16.192,6265.19,11.42
16.246,6267.9,11.42
16.302,6270.62,11.42
16.36,6273.37,11.43
16.415,6275.96,11.43
16.471,6278.57,11.43
16.532,6281.35,11.44
16.593,6284.13,11.44
16.655,6286.92,11.44
16.719,6289.71,11.44
16.783,6292.52,11.45
16.844,6295.17,11.45
16.91,6298.02,11.45
16.976,6300.87,11.46
17.043,6303.74,11.46
17.111,6306.63,11.46
17.179,6309.53,11.47
17.247,6312.44,11.47
17.315,6315.36,11.47
17.383,6318.3,11.48
17.451,6321.24,11.48
17.519,6324.19,11.48
17.583,6326.98,11.49
17.652,6329.97,11.49
17.719,6332.97,11.49
17.787,6335.98,11.5
17.854,6338.98,11.5
17.921,6342,11.5
17.982,6344.84,11.51
18.048,6347.87,11.51
18.113,6350.91,11.51
18.177,6353.97,11.52
18.241,6357.05,11.52
18.304,6360.15,11.52
18.366,6363.26,11.52
18.427,6366.37,11.53
18.487,6369.49,11.53
18.545,6372.62,11.53
18.603,6375.76,11.53
18.659,6378.91,11.53
18.714,6382.08,11.54
18.769,6385.29,11.54
18.821,6388.52,11.54
18.873,6391.77,11.54
18.923,6395.03,11.54
18.972,6398.3,11.54
19.019,6401.58,11.55
19.065,6404.86,11.55
19.113,6408.37,11.55
19.155,6411.69,11.55
19.195,6415.01,11.55
19.233,6418.34,11.56
19.267,6421.69,11.56
19.298,6425.05,11.56
19.325,6428.38,11.56
19.345,6431.74,11.57
19.36,6435.09,11.57
19.37,6438.66,11.57
7.288,6628.05,11.37
7.314,6628.7,11.36
7.355,6629.28,11.35
7.408,6629.76,11.34
7.478,6630.2,11.33
7.562,6630.59,11.32
7.654,6630.9,11.31
7.764,6631.17,11.3
7.885,6631.38,11.3
8.009,6631.55,11.29
8.149,6631.69,11.29
8.297,6631.8,11.28
8.443,6631.89,11.28
8.602,6631.96,11.28
8.764,6632.01,11.27
8.919,6632.06,11.27
9.083,6632.09,11.27
9.248,6632.12,11.27
9.401,6632.16,11.27
9.562,6632.19,11.27
9.721,6632.24,11.27
9.866,6632.3,11.27
10.016,6632.37,11.27
10.162,6632.48,11.27
10.292,6632.62,11.27
10.428,6632.78,11.26
10.559,6632.98,11.26
10.676,6633.23,11.26
10.797,6633.52,11.26
10.915,6633.83,11.25
11.016,6634.22,11.25
11.119,6634.66,11.25
11.217,6635.15,11.24
11.302,6635.69,11.24
11.383,6636.27,11.23
11.466,6636.92,11.23
11.539,6637.61,11.22
11.609,6638.33,11.22
11.681,6639.14,11.22
11.749,6640.02,11.21
11.81,6640.9,11.21
11.873,6641.88,11.21
11.934,6642.91,11.21
11.995,6643.99,11.21
12.055,6645.12,11.21
12.115,6646.3,11.21
12.176,6647.53,11.21
12.238,6648.81,11.21
12.296,6650.06,11.22
12.36,6651.41,11.22
12.425,6652.8,11.23
12.487,6654.14,11.24
12.555,6655.59,11.24
12.624,6657.07,11.25
12.692,6658.5,11.26
12.766,6660.05,11.26
12.841,6661.62,11.27
12.914,6663.12,11.28
12.994,6664.72,11.28
13.076,6666.34,11.29
13.156,6667.88,11.3
13.243,6669.53,11.3
13.333,6671.19,11.31
13.421,6672.76,11.31
13.517,6674.45,11.32
13.617,6676.14,11.32
13.715,6677.73,11.33
13.821,6679.42,11.33
13.931,6681.11,11.33
14.046,6682.79,11.34
14.164,6684.47,11.34
14.288,6686.14,11.34
14.416,6687.82,11.35
14.55,6689.5,11.35
14.682,6691.08,11.35
14.824,6692.76,11.35
14.971,6694.43,11.36
15.123,6696.09,11.36
15.28,6697.77,11.36
15.441,6699.44,11.36
15.607,6701.13,11.37
15.78,6702.84,11.37
15.947,6704.47,11.37
16.126,6706.21,11.37
16.308,6707.97,11.37
16.484,6709.65,11.37
16.671,6711.45,11.38
16.862,6713.28,11.38
17.056,6715.14,11.38
17.25,6717,11.38
17.447,6718.9,11.38
17.646,6720.82,11.38
17.845,6722.77,11.38
18.034,6724.62,11.38
18.233,6726.6,11.38
18.433,6728.6,11.38
18.632,6730.62,11.38
18.83,6732.66,11.38
19.028,6734.72,11.38
19.226,6736.81,11.38
19.423,6738.93,11.38
19.606,6740.96,11.38
19.8,6743.13,11.38
19.991,6745.33,11.38
20.18,6747.57,11.38
20.367,6749.83,11.37
20.552,6752.14,11.37
20.734,6754.48,11.37
20.914,6756.87,11.37
21.092,6759.29,11.37
21.267,6761.77,11.36
21.439,6764.25,11.36
21.608,6766.77,11.36
21.774,6769.33,11.36
21.936,6771.92,11.35
22.095,6774.54,11.35
22.25,6777.21,11.35
22.398,6779.93,11.35
22.544,6782.68,11.34
22.684,6785.48,11.34
22.82,6788.29,11.34
22.949,6791.16,11.33
23.076,6794.06,11.33
23.194,6797,11.33
23.31,6799.96,11.32
23.418,6802.97,11.32
23.532,6806.17,11.32
23.628,6809.26,11.31
23.722,6812.35,11.31
23.806,6815.48,11.31
23.888,6818.63,11.3
23.961,6821.82,11.3
24.031,6825.02,11.3
24.1,6828.45,11.29
24.159,6831.72,11.29
24.211,6835.03,11.29
24.259,6838.37,11.28
24.302,6841.73,11.28
24.341,6845.09,11.28
24.377,6848.49,11.27
24.411,6852.1,11.27
24.441,6855.53,11.27
24.466,6858.98,11.27
24.491,6862.47,11.26
24.512,6865.97,11.26
24.533,6869.5,11.26
24.553,6873.06,11.26
24.573,6876.81,11.26
24.592,6880.39,11.25
24.612,6884.2,11.25
24.631,6887.82,11.25
24.653,6891.66,11.25
24.674,6895.33,11.25
24.698,6899.24,11.25
24.723,6902.94,11.25
24.75,6906.86,11.25
24.778,6910.58,11.25
24.809,6914.31,11.24
24.843,6918.07,11.24
24.878,6921.84,11.24
24.916,6925.64,11.24
24.957,6929.46,11.25
25.001,6933.52,11.25
25.047,6937.36,11.25
25.096,6941.41,11.25
25.146,6945.25,11.25
25.201,6949.3,11.25
25.255,6953.14,11.25
25.313,6957.19,11.25
25.372,6961.03,11.25
25.436,6965.08,11.25
25.499,6968.92,11.25
25.566,6972.95,11.25
25.632,6976.75,11.26
25.703,6980.78,11.26
25.772,6984.6,11.26
25.845,6988.63,11.26
25.917,6992.46,11.26
25.994,6996.52,11.26
26.068,7000.36,11.26
26.146,7004.42,11.26
26.225,7008.48,11.27
26.304,7012.57,11.27
26.384,7016.65,11.27
26.465,7020.77,11.27
26.546,7024.9,11.27
26.624,7028.84,11.27
26.705,7033.01,11.28
26.783,7036.98,11.28
26.864,7041.19,11.28
26.941,7045.17,11.28
27.022,7049.38,11.28
27.098,7053.4,11.29
27.177,7057.66,11.29
27.256,7061.94,11.29
27.335,7066.24,11.29
27.414,7070.58,11.29
27.491,7074.91,11.3
27.567,7079.24,11.3
27.637,7083.37,11.3
27.71,7087.73,11.3
27.778,7091.86,11.31
27.849,7096.25,11.31
27.918,7100.66,11.31
27.986,7105.07,11.31
28.053,7109.5,11.32
28.116,7113.92,11.32
28.178,7118.33,11.32
28.238,7122.74,11.32
28.295,7127.17,11.33
28.351,7131.59,11.33
28.404,7136.02,11.33
28.454,7140.48,11.34
28.498,7144.7,11.34
28.544,7149.15,11.34
28.587,7153.6,11.35
28.627,7158.06,11.35
28.665,7162.53,11.35
28.701,7167.01,11.36
28.734,7171.5,11.36
28.765,7176.03,11.36
28.794,7180.57,11.37
28.82,7185.1,11.37
28.846,7189.89,11.38
28.868,7194.44,11.38
28.887,7199,11.39
28.905,7203.59,11.39
28.92,7208.18,11.4
28.934,7212.79,11.4
28.945,7217.42,11.41
28.955,7222.05,11.41
28.964,7226.93,11.42
28.97,7231.54,11.42
28.974,7236.15,11.43
28.976,7240.78,11.43
23.69,7612.82,11.96
23.697,7616.81,11.97
23.707,7620.96,11.98
23.721,7624.88,11.99
23.737,7628.8,12
23.756,7632.7,12
23.778,7636.59,12.01
23.801,7640.48,12.02
23.827,7644.57,12.03
23.855,7648.45,12.03
23.883,7652.29,12.04
23.914,7656.13,12.05
23.946,7659.96,12.05
23.979,7663.78,12.06
24.016,7667.77,12.07
24.052,7671.58,12.07
24.089,7675.38,12.08
24.128,7679.17,12.09
24.166,7682.93,12.09
24.206,7686.69,12.1
24.247,7690.64,12.1
24.29,7694.59,12.11
24.332,7698.52,12.12
24.373,7702.28,12.12
24.414,7706.05,12.13
24.454,7709.81,12.13
24.494,7713.56,12.13
24.534,7717.33,12.14
24.576,7721.27,12.14
24.617,7725.23,12.15
24.657,7729.18,12.15
24.697,7733.16,12.15
24.734,7736.95,12.16
24.77,7740.74,12.16
24.805,7744.52,12.16
24.84,7748.32,12.17
24.873,7752.12,12.17
24.908,7756.11,12.17
24.941,7760.1,12.17
24.974,7764.11,12.17
25.005,7768.13,12.18
25.035,7772.11,12.18
25.063,7775.9,12.18
25.089,7779.68,12.18
25.115,7783.46,12.18
25.141,7787.21,12.18
25.167,7790.98,12.18
25.195,7794.95,12.18
25.222,7798.91,12.18
25.25,7802.85,12.18
25.278,7806.81,12.18
25.307,7810.76,12.18
25.338,7814.71,12.17
25.369,7818.66,12.17
25.402,7822.62,12.17
25.435,7826.39,12.17
25.47,7830.16,12.17
25.507,7833.93,12.17
25.545,7837.69,12.17
25.586,7841.45,12.16
25.63,7845.4,12.16
25.676,7849.36,12.16
25.725,7853.32,12.16
25.776,7857.29,12.16
25.83,7861.27,12.15
25.885,7865.24,12.15
25.943,7869.22,12.15
26.004,7873.19,12.15
26.066,7877.18,12.15
26.131,7881.19,12.14
26.198,7885.21,12.14
26.267,7889.23,12.14
26.338,7893.27,12.14
26.411,7897.3,12.14
26.486,7901.34,12.13
26.562,7905.38,12.13
26.639,7909.44,12.13
26.717,7913.49,12.13
26.793,7917.37,12.13
26.873,7921.43,12.12
26.954,7925.49,12.12
27.032,7929.37,12.12
27.112,7933.24,12.12
27.196,7937.32,12.12
27.278,7941.22,12.11
27.361,7945.13,12.11
27.448,7949.25,12.11
27.537,7953.36,12.11
27.627,7957.48,12.11
27.723,7961.81,12.1
27.815,7965.95,12.1
27.908,7970.09,12.1
28.004,7974.27,12.1
28.1,7978.45,12.1
28.197,7982.63,12.09
28.3,7987.01,12.09
28.404,7991.41,12.09
28.509,7995.82,12.09
28.615,8000.24,12.08
28.717,8004.48,12.08
28.819,8008.74,12.08
28.921,8013.02,12.08
29.023,8017.28,12.08
29.124,8021.56,12.07
29.224,8025.86,12.07
29.324,8030.17,12.07
29.422,8034.51,12.07
29.52,8038.87,12.07
29.618,8043.26,12.06
29.713,8047.63,12.06
29.806,8052.01,12.06
29.897,8056.4,12.06
29.986,8060.81,12.06
30.073,8065.21,12.05
30.157,8069.66,12.05
30.241,8074.13,12.05
30.32,8078.59,12.05
30.401,8083.27,12.05
30.48,8087.97,12.04
30.556,8092.68,12.04
30.629,8097.38,12.04
30.7,8102.11,12.04
30.764,8106.65,12.04
30.825,8111.18,12.03
30.884,8115.69,12.03
30.942,8120.22,12.03
30.997,8124.74,12.03
31.049,8129.26,12.03
31.101,8133.8,12.03
31.15,8138.36,12.03
31.199,8142.93,12.02
31.248,8147.73,12.02
31.295,8152.51,12.02
31.341,8157.31,12.02
31.386,8162.12,12.02
31.428,8166.91,12.02
31.466,8171.5,12.02
31.503,8176.11,12.01
31.538,8180.71,12.01
31.57,8185.3,12.01
31.602,8190.14,12.01
31.631,8194.98,12.01
31.656,8199.82,12.01
31.677,8204.67,12.01
31.694,8209.55,12.01
31.704,8214.2,12
31.709,8218.83,12
1.868,8664.72,12.15
1.869,8650.56,12.14
1.87,8639.84,12.14
1.871,8632.71,12.14
1.872,8625.87,12.13
1.873,8622.29,12.13
1.874,8618.88,12.13
1.875,8615.46,12.13
1.876,8611.88,12.13
1.877,8608.28,12.13
1.878,8604.84,12.13
1.879,8601.22,12.13
1.88,8597.61,12.13
1.882,8594.16,12.13
1.883,8590.54,12.13
1.885,8586.91,12.13
1.886,8583.44,12.13
1.888,8579.79,12.13
1.89,8576.13,12.13
1.892,8572.64,12.13
1.894,8568.98,12.14
1.897,8565.33,12.14
1.899,8561.84,12.14
1.901,8558.36,12.14
1.904,8554.69,12.14
1.907,8551.21,12.14
1.91,8547.73,12.14
1.913,8544.09,12.14
1.916,8540.45,12.14
1.919,8537,12.14
1.922,8533.55,12.14
1.926,8529.93,12.14
1.929,8526.48,12.14
1.933,8523.05,12.15
1.937,8519.46,12.15
1.941,8515.87,12.15
1.944,8512.46,12.15
1.948,8509.04,12.15
1.952,8505.46,12.15
1.956,8502.02,12.15
1.961,8498.6,12.15
1.965,8495.02,12.15
1.969,8491.42,12.16
1.974,8487.99,12.16
1.978,8484.56,12.16
1.982,8481.12,12.16
1.987,8477.66,12.16
1.991,8474.22,12.16
1.996,8470.77,12.16
2.001,8467.31,12.16
2.005,8463.69,12.16
2.01,8460.22,12.17
2.015,8456.75,12.17
2.019,8453.28,12.17
2.024,8449.65,12.17
2.029,8446.18,12.17
2.034,8442.71,12.17
2.039,8439.24,12.17
2.044,8435.6,12.17
2.049,8432.12,12.17
2.054,8428.65,12.18
2.059,8425.18,12.18
2.064,8421.54,12.18
2.069,8418.08,12.18
2.074,8414.61,12.18
2.079,8411.14,12.18
2.084,8407.67,12.19
2.089,8404.21,12.19
2.094,8400.74,12.19
2.099,8397.27,12.19
2.103,8393.83,12.2
2.108,8390.21,12.2
2.113,8386.75,12.2
2.117,8383.27,12.2
2.121,8379.8,12.21
2.126,8376.31,12.21
2.13,8372.83,12.21
2.134,8369.35,12.22
2.138,8365.88,12.22
2.142,8362.4,12.22
2.146,8358.9,12.23
2.149,8355.56,12.23
2.153,8352.05,12.24
2.157,8348.54,12.24
2.16,8345.04,12.25
2.164,8341.52,12.25
2.167,8338,12.25
2.171,8334.48,12.26
2.174,8330.92,12.27
2.178,8327.36,12.27
2.181,8323.8,12.28
2.185,8320.24,12.28
2.188,8316.67,12.29
2.192,8313.1,12.3
2.196,8309.52,12.3
2.2,8305.92,12.31
2.204,8302.32,12.32
2.207,8298.91,12.33
2.211,8295.31,12.34
2.215,8291.72,12.34
2.22,8288.13,12.35
2.224,8284.55,12.36
2.228,8280.96,12.37
2.233,8277.55,12.38
2.237,8274,12.39
2.242,8270.45,12.4
2.246,8266.91,12.41
2.251,8263.37,12.42
2.256,8259.85,12.43
2.261,8256.48,12.44
2.265,8253.11,12.45
2.27,8249.61,12.46
2.276,8246.11,12.47
2.281,8242.61,12.48
2.286,8239.11,12.49
2.292,8235.63,12.5
2.297,8232.3,12.51
2.303,8228.96,12.52
2.31,8225.47,12.53
2.317,8221.99,12.54
2.325,8218.5,12.56
2.335,8215.02,12.57
2.345,8211.55,12.58
2.357,8208.24,12.59
2.369,8204.93,12.6
2.384,8201.64,12.61
2.4,8198.36,12.62
2.418,8194.91,12.63
2.438,8191.46,12.64
2.46,8188.03,12.65
2.484,8184.57,12.66
2.51,8181.12,12.67
2.536,8177.84,12.67
2.563,8174.57,12.68
2.591,8171.3,12.68
2.619,8168.04,12.68
2.647,8164.79,12.68
2.676,8161.37,12.67
2.705,8157.95,12.67
2.733,8154.53,12.66
2.761,8151.12,12.65
2.787,8147.72,12.63
2.81,8144.48,12.61
2.832,8141.25,12.59
2.853,8138.02,12.56
2.872,8134.79,12.54
2.888,8131.56,12.51
2.903,8128.35,12.47
2.917,8124.99,12.44
2.929,8121.63,12.4
2.94,8118.29,12.36
2.948,8114.96,12.32
2.953,8111.65,12.28
2.957,8108.49,12.23
2.959,8105.37,12.19
2.332,7976.75,11.64
2.338,7974.48,11.68
2.346,7972.19,11.72
2.357,7969.85,11.76
2.37,7967.46,11.8
2.385,7965.02,11.84
2.401,7962.53,11.88
2.419,7959.98,11.92
2.438,7957.37,11.96
2.457,7954.72,11.99
2.477,7952.02,12.02
2.498,7949.29,12.05
2.519,7946.49,12.08
2.54,7943.64,12.11
2.561,7940.73,12.13
2.583,7937.74,12.15
2.605,7934.67,12.17
2.627,7931.55,12.19
2.648,7928.37,12.2
2.67,7925.12,12.21
2.692,7921.83,12.22
2.714,7918.47,12.23
2.734,7915.2,12.24
2.754,7911.86,12.24
2.775,7908.47,12.25
2.794,7905.02,12.25
2.814,7901.5,12.25
2.834,7897.78,12.25
2.855,7893.99,12.24
2.875,7890.14,12.24
2.894,7886.19,12.24
2.914,7882.19,12.23
2.933,7878.1,12.22
2.951,7873.96,12.21
2.969,7869.76,12.21
2.987,7865.5,12.2
3.005,7861.18,12.18
3.022,7856.78,12.17
3.04,7852.32,12.16
3.056,7847.8,12.15
3.073,7843.25,12.13
3.089,7838.65,12.12
3.105,7834.01,12.11
3.12,7829.33,12.09
3.135,7824.84,12.08
3.149,7820.33,12.06
3.163,7815.8,12.04
3.177,7811.3,12.03
3.19,7806.78,12.01
3.204,7802.02,12
3.218,7797.25,11.98
3.232,7792.48,11.96
3.245,7787.69,11.94
3.258,7782.91,11.92
3.271,7778.16,11.9
3.284,7773.43,11.89
3.295,7768.97,11.87
3.306,7764.52,11.85
3.316,7760.08,11.83
3.327,7755.66,11.81
3.337,7751.25,11.8
3.347,7746.62,11.78
3.357,7742.02,11.76
3.366,7737.48,11.74
3.375,7732.97,11.72
3.383,7728.73,11.7
3.391,7724.53,11.69
3.398,7720.35,11.67
3.405,7716.19,11.65
3.412,7712.06,11.64
3.419,7707.76,11.62
