Name:;NoName_1
Units:;Metric
DecimalPoint:;.
Env sensors:;T:;23.5;C;Hum:;55.0;%;P:;1025.0;mBar
PowerCorrFactor:;0;FrictionalLossesCorrectionOn:;False;EnvCorrMethod:;None;EnvCorrFactor:;1;TotalCorrFactor:;1
Timestamp:;09/13/2023 12:33:19
Comments:;
Time;Engine Power (HP);Wheel Power (HP);Engine Torque (Nm);Wheel Torque (Nm);RPM;Time (s);Lambda (AFR);TP (%);EGT1 (C);RPM1;RPM2;Gear Ratio;LoadCell1 Torque (Nm);LoadCell2 Torque (Nm);Angular Acceleration 1 (rad/s^2);Angular Acceleration 2 (rad/s^2);Dyno internal Power loss (HP);Dyno internal Torque loss (Nm);Measured Power (HP);Measured Torque (Nm);Ambient Pressure (millibar);Ambient Temperature (C);Ambient Humidity (%);MAP[ScanTool];RPM[ScanTool] (RPM);O2[ScanTool] (V);TPS[ScanTool] (%);Speed[ScanTool] (KPH);IAT[ScanTool] (C);ECT[ScanTool] (C);Timing Advance[ScanTool] (degree);Battery[ScanTool] (V);Knock[ScanTool];Engine Load[ScanTool] (Load);Injector ms[ScanTool] (ms);Injector Duty[ScanTool] (%);Speed (kph);Distance (m)
0.00832655833333333;9.96734127831065;9.96734127831065;12.0878629422876;12.0878629422876;5872.42492104416;0.00832655833333333;12.3481483459473;-9.72949123382568;-132573.359375;671.805114746094;0;17.4825248718262;0;0;10.3287572860718;0;0;0;9.96734142303467;12.0878629684448;1007.91998291016;35.4000015258789;55.1020011901855;0;0;0;0;0;0;0;0;0;0;0;0;0;2.01541543006897;0
0.0172211583333333;10.0294671792018;10.0294671792018;12.1380189538588;12.1380189538588;5884.81321563799;0.0127738583333333;12.3468194007874;-9.72447872161865;-132573.359375;673.222351074219;0;17.4825248718262;0;0;10.3716139793396;0;0;0;10.0294671058655;12.1380190849304;1007.91998291016;35.4000015258789;55.1020011901855;0;0;0;0;0;0;0;0;0;0;0;0;0;2.01966714859009;0.00250027049332857
0.00832655833333333;9.96734127831064;9.96734127831064;12.0878629422876;12.0878629422876;5872.42492104416;0.00832655833333333;12.3481483459473;-9.72949123382568;-132573.359375;671.805114746094;0;17.4825248718262;0;0;10.3287572860718;0;0;0;9.96734142303467;12.0878629684448;1007.91998291016;35.4000015258789;55.1020011901856;0;0;0;0;0;0;0;0;0;0;0;0;0;2.01541543006897;6.07153216591882E-18
0.0172211583333333;10.065470835098;10.065470835098;12.1683495208605;12.1683495208605;5891.33937393834;0.0172211583333333;12.3450865473223;-9.73468044037302;-132573.359375;673.968944396059;0;17.4825248718262;0;0;10.3975306603142;0;0;0;10.0654707439533;12.1683495651942;1007.91998291016;35.4000015258789;55.1020011901855;0;0;0;0;0;0;0;0;0;0;0;0;0;2.02190692498825;0.00500158104785233
0.0261092083333333;10.1250543529343;10.1250543529343;12.2219751547147;12.2219751547147;5900.40316941115;0.0261092083333333;12.3424997861432;-9.7482143588931;-132573.359375;675.005851422291;0;17.4825248718262;0;0;10.4433522146011;0;0;0;10.125054231874;12.221975019566;1007.91998291016;35.4000015258789;55.1020011901855;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0250176455882;0.0100011534263838
0.0261092083333333;10.1228376319676;10.1228376319676;12.2294981954513;12.2294981954513;5895.28975533142;0.0261092083333333;12.3411765266873;-9.74832142825444;-132573.359375;674.420876042029;0;17.4825248718262;0;0;10.4497804627581;0;0;0;10.1228375029676;12.2294980948026;1007.91998291016;35.4000015258789;55.1020011901855;0;0;0;0;0;0;0;0;0;0;0;0;0;2.02326270662873;0.0099995784347394
0.0349965083333333;10.1895281644746;10.1895281644746;12.3099902377928;12.3099902377928;5895.0685728018;0.0349965083333333;12.3334876989398;-9.76322088215363;-132573.359375;674.395576270267;0;17.4825248718262;0;0;10.5185587519157;0;0;0;10.1895279857672;12.3099901193021;1007.91998291016;35.4000015258789;55.1020011901855;0;0;0;0;0;0;0;0;0;0;0;0;0;2.02318678884164;0.0149941910698784
0.0349965083333333;10.189147599045;10.189147599045;12.309896544764;12.309896544764;5894.78674268665;0.0349965083333333;12.3313559673802;-9.76086593568265;-132573.359375;674.363331954831;0;17.4825248718262;0;0;10.5184786925258;0;0;0;10.1891474236186;12.3098965036775;1007.91998291016;35.4000015258789;55.1020011901855;0;0;0;0;0;0;0;0;0;0;0;0;0;2.02309005956735;0.0149935473472916
0.0349965083333333;10.1802518624598;10.1802518624598;12.2997593421123;12.2997593421123;5894.42619786155;0.0349965083333333;12.3297809274513;-9.758243415266;-132573.359375;674.32208267396;0;17.4825248718262;0;0;10.5098167251232;0;0;0;10.1802517030028;12.2997593267876;1007.91998291016;35.4000015258789;55.1020011901856;0;0;0;0;0;0;0;0;0;0;0;0;0;2.02296631018458;0.0149936488348058
0.0439189583333333;10.2179421015179;10.2179421015179;12.3377294841226;12.3377294841226;5897.84987377321;0.0439189583333333;12.3200799664701;-9.76318150225145;-132573.359375;674.713751365154;0;17.4825248718262;0;0;10.5422611500046;0;0;0;10.217941922064;12.3377294566117;1007.91998291016;35.4000015258789;55.1020011901855;0;0;0;0;0;0;0;0;0;0;0;0;0;2.02414130042852;0.0200107100521321
0.0439189583333333;10.2027966036081;10.2027966036081;12.3170868533052;12.3170868533052;5898.98474452046;0.0439189583333333;12.3203264461668;-9.75912415279078;-132573.359375;674.843580341874;0;17.4825248718262;0;0;10.5246225840077;0;0;0;10.20279643447;12.3170868198634;1007.91998291016;35.4000015258789;55.1020011901856;0;0;0;0;0;0;0;0;0;0;0;0;0;2.02453078698344;0.0200130118042243
