TP (%),RPM,Lambda (AFR)
99.6914,5438.69,10.93
99.6933,5447.58,10.91
99.6951,5456.4,10.88
99.6969,5465.15,10.86
99.6987,5473.89,10.83
99.7005,5483.27,10.81
99.7022,5491.87,10.79
99.704,5501.15,10.77
99.7055,5509.66,10.75
99.7071,5518.15,10.73
99.7085,5526.69,10.71
99.7099,5535.18,10.69
99.7112,5543.63,10.67
99.7125,5552.07,10.66
99.7138,5561.18,10.64
99.7149,5569.51,10.62
99.716,5578.53,10.61
99.7169,5586.83,10.59
99.7179,5595.71,10.58
99.7186,5603.86,10.57
99.7194,5612.67,10.56
99.72,5620.73,10.55
99.7205,5629.52,10.54
99.721,5637.65,10.53
99.7214,5646.42,10.52
99.7217,5654.51,10.51
99.7219,5663.25,10.5
99.722,5671.27,10.49
99.7221,5679.96,10.49
99.7215,5780.77,10.46
99.7217,5789.13,10.46
99.722,5797.45,10.46
99.7223,5805.08,10.46
99.7227,5813.36,10.46
99.7231,5821.61,10.47
99.7236,5829.86,10.47
99.7241,5838.12,10.47
99.7247,5846.36,10.47
99.7252,5854.55,10.48
99.7258,5862.76,10.48
99.7264,5870.95,10.48
99.727,5879.08,10.49
99.7276,5887.83,10.49
99.7283,5895.91,10.49
99.7291,5903.98,10.5
99.7298,5912.03,10.5
99.7306,5920.11,10.5
99.7315,5928.16,10.51
99.7323,5936.21,10.51
99.7331,5944.21,10.51
99.7339,5952.84,10.51
99.7347,5960.82,10.52
99.7355,5968.77,10.52
99.7363,5977.29,10.52
99.737,5985.16,10.52
99.7378,5993,10.52
99.7385,6001.43,10.53
99.7392,6009.25,10.53
99.7399,6017.09,10.53
99.7407,6025.52,10.53
99.7414,6033.35,10.53
99.7422,6041.12,10.53
99.743,6049.5,10.53
99.7438,6057.83,10.53
99.7447,6065.56,10.53
99.7456,6073.82,10.53
99.7465,6082.06,10.53
99.7474,6089.65,10.53
99.7483,6097.25,10.53
99.7493,6105.45,10.52
99.7504,6113.65,10.52
99.7514,6121.26,10.52
99.7525,6129.47,10.52
99.7537,6137.66,10.52
99.7547,6145.23,10.51
99.7558,6152.79,10.51
99.7569,6160.88,10.51
99.7581,6168.96,10.51
99.7592,6177,10.5
99.7603,6185.04,10.5
99.7613,6193.06,10.5
99.7624,6201.13,10.49
99.7634,6209.16,10.49
99.7643,6216.62,10.48
99.7653,6224.64,10.48
99.7662,6232.65,10.47
99.7672,6240.62,10.47
99.7681,6247.99,10.47
99.7691,6255.93,10.46
99.7701,6263.87,10.46
99.7711,6271.82,10.45
99.772,6279.79,10.45
99.773,6287.76,10.44
99.774,6295.73,10.44
99.775,6303.7,10.43
99.776,6311.66,10.43
99.7771,6319.6,10.42
99.7782,6328.07,10.42
99.7793,6336,10.41
99.7805,6343.89,10.41
99.7818,6351.76,10.4
99.7833,6359.66,10.4
99.7848,6367.57,10.4
99.7865,6375.46,10.39
99.7883,6383.38,10.39
99.7903,6391.29,10.38
99.7924,6399.22,10.38
99.7947,6407.11,10.38
99.7973,6415.56,10.37
99.8001,6424.03,10.37
99.8032,6432.45,10.36
99.8064,6440.32,10.36
99.8099,6448.24,10.36
99.8137,6456.15,10.35
99.8179,6464.04,10.35
99.8225,6471.97,10.35
99.8278,6480.46,10.35
99.8336,6488.92,10.34
99.84,6497.36,10.34
99.8467,6505.25,10.34
99.854,6513.1,10.33
99.8616,6520.96,10.33
99.8698,6528.83,10.33
99.8786,6536.72,10.33
99.8885,6545.16,10.32
99.8991,6553.64,10.32
99.9104,6562.09,10.32
99.9225,6570.54,10.32
99.9353,6578.97,10.31
99.9492,6587.37,10.31
99.964,6595.82,10.31
99.9795,6604.24,10.31
99.9951,6612.12,10.31
100.0115,6620.03,10.3
100.0282,6627.95,10.3
100.0457,6635.87,10.3
100.0638,6643.81,10.3
100.084,6652.34,10.3
100.1049,6660.83,10.29
100.1263,6669.27,10.29
100.1484,6677.69,10.29
100.1711,6686.1,10.29
100.194,6694.51,10.29
100.218,6702.98,10.29
100.2427,6711.51,10.28
100.268,6720.08,10.28
100.2938,6728.65,10.28
100.3201,6737.26,10.28
100.3465,6745.81,10.28
100.3735,6754.38,10.28
100.4009,6762.92,10.27
100.4288,6771.51,10.27
100.4568,6780.07,10.27
100.4854,6788.68,10.27
100.5142,6797.31,10.27
100.5433,6805.95,10.27
100.5725,6814.55,10.27
100.602,6823.18,10.27
100.6313,6831.74,10.26
100.6608,6840.31,10.26
100.6903,6848.89,10.26
100.7218,6858.04,10.26
100.7532,6867.16,10.26
100.7849,6876.37,10.26
100.8166,6885.58,10.26
100.848,6894.77,10.26
100.8773,6903.41,10.26
100.9061,6912.06,10.27
100.9346,6920.67,10.27
100.9628,6929.26,10.27
100.9906,6937.89,10.27
101.0177,6946.52,10.27
101.0448,6955.17,10.28
101.0715,6963.86,10.28
101.0994,6973.13,10.29
101.1267,6982.41,10.29
101.1537,6991.69,10.3
101.1799,7000.96,10.3
101.205,7010.22,10.31
101.2278,7018.91,10.32
101.2498,7027.57,10.33
101.2709,7036.28,10.33
101.293,7045.58,10.34
101.3148,7054.9,10.35
101.3354,7064.24,10.37
101.3551,7073.61,10.38
101.3743,7082.96,10.39
101.3907,7091.72,10.4
101.4078,7101.02,10.42
101.4243,7110.34,10.43
101.4397,7119.65,10.45
101.4542,7128.94,10.47
101.4681,7138.21,10.48
101.48,7146.94,10.5
101.4921,7156.23,10.52
101.5035,7165.52,10.54
101.5141,7174.8,10.56
101.5239,7184.07,10.58
101.533,7193.34,10.6
101.5413,7202.57,10.62
101.5489,7211.79,10.64
101.5559,7221.02,10.67
101.5623,7230.27,10.69
101.568,7239.51,10.72
101.5732,7248.76,10.74
101.5779,7258.01,10.77
101.582,7267.2,10.79
101.5857,7276.38,10.82
101.5892,7286.11,10.85
101.592,7295.26,10.87
101.5943,7304.39,10.9
101.5964,7313.55,10.93
101.5982,7323.27,10.96
101.5996,7332.4,10.99
101.6008,7341.52,11.02
101.6017,7350.62,11.05
101.6025,7360.23,11.08
101.603,7369.27,11.11
101.6033,7378.3,11.14
101.6035,7387.84,11.17
101.6037,7397.37,11.21
101.6036,7479.74,11.5
101.6037,7489.16,11.53
101.6039,7498.02,11.56
101.6042,7507.4,11.59
101.6045,7516.71,11.62
101.6048,7525.47,11.65
101.6052,7534.77,11.68
101.6055,7544.06,11.7
101.6059,7552.77,11.73
101.6063,7562.08,11.76
101.6067,7571.37,11.78
101.607,7580.65,11.81
101.6073,7589.9,11.83
101.6075,7599.16,11.85
101.6078,7608.38,11.88
101.608,7617.61,11.9
101.6083,7626.8,11.92
101.6086,7636.01,11.93
101.6088,7645.21,11.95
101.6091,7654.42,11.97
101.6093,7663.66,11.98
101.6096,7672.88,12
101.6098,7682.07,12.01
101.6101,7691.3,12.03
101.6104,7700.5,12.04
101.6108,7709.71,12.05
101.6112,7718.93,12.06
101.6116,7728.18,12.07
101.6121,7737.95,12.08
101.6126,7747.25,12.09
101.6132,7756.53,12.1
101.6137,7765.79,12.11
101.6143,7775.08,12.12
101.6149,7784.39,12.13
101.6155,7793.69,12.14
101.6161,7803.54,12.15
101.6168,7812.9,12.16
101.6175,7822.85,12.17
101.6181,7832.26,12.18
101.6188,7842.21,12.19
101.6195,7851.62,12.19
101.6201,7861.63,12.2
101.6206,7871.1,12.21
101.6212,7881.11,12.22
101.6217,7890.61,12.23
101.6222,7900.72,12.24
101.6226,7910.3,12.25
101.6231,7920.44,12.26
101.6234,7930.07,12.26
101.6238,7940.29,12.27
101.624,7949.94,12.28
101.6241,7960.16,12.29
101.6242,7970.42,12.3
101.5695,8668.06,13.19
101.5697,8678.69,13.21
101.57,8689.32,13.23
101.5704,8700.52,13.26
101.5709,8711.65,13.28
101.5714,8722.77,13.3
101.572,8733.32,13.32
101.5726,8743.82,13.34
101.5733,8754.27,13.36
101.574,8764.77,13.38
101.5747,8775.26,13.4
101.5753,8786.26,13.43
101.5759,8797.25,13.45
101.5765,8808.23,13.47
101.5769,8819.19,13.49
101.5773,8830.09,13.51
101.5775,8841,13.53
101.5776,8851.37,13.55
101.5777,8861.73,13.57
101.576,8999.58,13.74
101.5762,9010.21,13.75
101.5764,9020.81,13.76
101.5767,9031.42,13.76
101.5771,9042,13.77
101.5776,9052.54,13.77
101.5782,9063.08,13.78
101.5788,9073.58,13.78
101.5795,9084.08,13.79
101.5802,9094.56,13.79
101.5809,9105.07,13.79
101.5816,9116.06,13.79
101.5824,9127.04,13.79
101.5831,9137.98,13.8
101.5839,9148.9,13.8
101.5845,9159.81,13.8
101.5851,9170.19,13.8
101.5856,9180.58,13.8
101.586,9190.93,13.79
101.5863,9201.26,13.79
101.5866,9211.56,13.79
101.5868,9221.83,13.79
101.5869,9232.07,13.79
101.3891,10991.5,13.48
101.3892,11001.42,13.47
101.3895,11011.31,13.47
101.3899,11020.78,13.46
101.3904,11030.23,13.45
101.3911,11039.67,13.45
101.3918,11049.07,13.44
101.3927,11058.49,13.44
101.3937,11068.27,13.43
101.3949,11078.03,13.42
101.3962,11087.78,13.41
101.3976,11097.51,13.41
101.3992,11107.22,13.4
101.401,11116.92,13.39
101.4028,11126.6,13.38
101.4048,11136.27,13.37
101.4068,11145.94,13.37
101.4089,11155.57,13.36
101.4109,11165.21,13.35
101.413,11174.88,13.34
101.415,11184.48,13.33
101.417,11194.08,13.32
101.419,11203.68,13.3
101.421,11213.22,13.29
101.423,11222.78,13.28
101.4249,11232.35,13.27
101.4268,11241.89,13.25
101.4288,11251.38,13.23
101.4307,11260.87,13.22
101.4326,11270.32,13.2
101.4345,11279.76,13.18
101.4365,11289.18,13.16
101.4384,11298.56,13.14
101.4403,11307.93,13.12
101.4423,11317.26,13.1
101.4443,11326.58,13.07
101.4462,11335.85,13.05
101.4483,11345.15,13.02
101.4504,11354.38,13
101.4525,11363.6,12.97
101.4546,11372.78,12.95
101.457,11382.33,12.92
101.4593,11391.83,12.9
101.4617,11401.35,12.87
101.4642,11410.8,12.84
101.4667,11420.23,12.82
101.469,11429.27,12.79
101.4714,11438.29,12.77
101.4736,11447.28,12.74
101.4754,11456.27,12.72
101.4768,11465.61,12.69
101.4772,11474.91,12.66
