,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,90000,9500,10000,10500,11000,11500,12000,12500,13000,13500,14000,14500,15000
100,10.1 ,10.1 ,10.1 ,10.1 ,9.68 ,8.52 ,8.29 ,7.88 ,7.68 ,7.88 ,8.07 ,7.94 ,7.8  ,8.14 ,8.64 ,9.13 ,9.09 ,9.1  ,9.2  ,9.31 ,9.25 ,8.64 ,8.56 ,8.28 ,8.05 ,7.81 ,7.57 ,7.34 ,7.11 ,6.87 
90,10.1 ,10.1 ,9.8  ,9.8  ,9.63 ,8.52 ,8.29 ,7.88 ,7.66 ,7.84 ,8.03 ,7.87 ,7.72 ,8.04 ,8.48 ,8.94 ,8.84 ,8.84 ,8.94 ,9.01 ,8.87 ,8.41 ,8.27 ,7.96 ,7.73 ,7.5  ,7.27 ,7.04 ,6.81 ,6.58 
80,9.7  ,9.7  ,9.6  ,9.6  ,9.48 ,8.4  ,8.2  ,7.78 ,7.64 ,7.81 ,7.98 ,7.81 ,7.63 ,7.93 ,8.32 ,8.75 ,8.58 ,8.59 ,8.67 ,8.71 ,8.48 ,8.17 ,7.98 ,7.63 ,7.41 ,7.19 ,6.96 ,6.74 ,6.52 ,6.29 
70,9.48 ,9.42 ,9.35 ,9.29 ,9.23 ,8.44 ,8.35 ,7.72 ,7.62 ,7.78 ,7.94 ,7.74 ,7.54 ,7.83 ,8.16 ,8.34 ,8.26 ,8.33 ,8.41 ,8.41 ,8.1  ,7.94 ,7.69 ,7.31 ,7.1  ,6.88 ,6.66 ,6.44 ,6.22 ,6.01 
60,9.14 ,9.05 ,8.96 ,8.87 ,8.78 ,8.25 ,8.04 ,7.72 ,7.62 ,7.82 ,7.88 ,7.71 ,7.54 ,7.73 ,7.91 ,7.92 ,7.93 ,7.86 ,7.84 ,7.81 ,7.55 ,7.32 ,7.24 ,6.99 ,6.78 ,6.57 ,6.36 ,6.14 ,5.93 ,5.72 
50,8.8  ,8.68 ,8.57 ,8.45 ,8.33 ,8.06 ,7.73 ,7.72 ,7.62 ,7.87 ,7.81 ,7.68 ,7.54 ,7.64 ,7.67 ,7.68 ,7.53 ,7.39 ,7.26 ,7.22 ,7    ,6.71 ,6.78 ,6.67 ,6.46 ,6.26 ,6.05 ,5.84 ,5.64 ,5.43 
40,8.46 ,8.32 ,8.17 ,8.03 ,7.88 ,7.88 ,7.42 ,7.51 ,7.31 ,7.32 ,7.15 ,6.93 ,6.72 ,6.76 ,6.81 ,6.74 ,6.59 ,6.4  ,6.31 ,6.24 ,6.23 ,6.01 ,5.94 ,5.84 ,5.79 ,5.55 ,5.35 ,5.05 ,4.93 ,4.82 
30,8.12 ,7.95 ,7.78 ,7.61 ,7.44 ,7.32 ,6.98 ,7.3  ,7    ,6.7  ,6.49 ,6.19 ,5.91 ,5.89 ,5.94 ,5.8  ,5.64 ,5.42 ,5.35 ,5.27 ,5.46 ,5.3  ,5.1  ,5    ,4.82 ,4.55 ,4.55 ,4.55 ,4.44 ,4.34 
20,7.78 ,7.58 ,7.38 ,7.19 ,6.99 ,6.76 ,6.28 ,6.06 ,5.68 ,5.41 ,5.29 ,5.03 ,4.71 ,4.69 ,4.67 ,4.6  ,4.6  ,4.6  ,4.49 ,4.38 ,4.52 ,4.31 ,3.95 ,3.82 ,3.82 ,3.6  ,3.6  ,3.59 ,3.59 ,3.38 
14,7.44 ,7.22 ,6.99 ,6.76 ,6.41 ,5.63 ,4.93 ,4.98 ,4.64 ,4.37 ,4.29 ,4.15 ,3.93 ,3.89 ,3.91 ,3.92 ,3.88 ,3.78 ,3.63 ,3.6  ,3.75 ,3.62 ,3.38 ,3.38 ,3.38 ,3.38 ,3.33 ,3.28 ,3.23 ,3.18 
8,6.75 ,6.54 ,5.58 ,5.26 ,4.84 ,4.31 ,3.99 ,4.01 ,3.9  ,3.7  ,3.62 ,3.43 ,3.24 ,3.16 ,3.11 ,3.05 ,2.91 ,2.71 ,2.71 ,2.89 ,3.04 ,3.13 ,2.78 ,2.78 ,2.74 ,2.7  ,2.66 ,2.62 ,2.58 ,2.54 
5,6.27 ,5.73 ,5.05 ,4.85 ,4.52 ,3.84 ,3.52 ,3.41 ,3.31 ,3.05 ,2.82 ,2.68 ,2.49 ,2.23 ,2.27 ,2.31 ,2.35 ,2.35 ,2.35 ,2.26 ,2.37 ,2.43 ,2.33 ,2.1  ,2.08 ,2.06 ,2.03 ,2.01 ,1.99 ,1.97 
2,5.73 ,4.36 ,3.76 ,3.55 ,3.36 ,2.91 ,2.47 ,2.4  ,2.38 ,2.31 ,2.1  ,1.95 ,1.76 ,1.57 ,1.57 ,1.57 ,1.57 ,1.47 ,1.4  ,1.41 ,1.41 ,1.41 ,1.41 ,1.41 ,1.41 ,1.41 ,1.41 ,1.41 ,1.41 ,1.41 
0,5.3  ,3.8  ,2.8  ,2.51 ,2.1  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  
